"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Sult5a1",20.5886031911846,23.0288605630433,18.1510549529011,21.9902883368808,27.1116600323239,30.6564005018547
"Dpep1",21.0266585782311,16.6319548510868,15.1962320535916,13.6696386958989,11.5019163773495,15.3282002509274
"Chmp1a",194.058536461591,216.215413064129,151.540202978872,219.902883368808,184.852227493117,166.694177728835
"Cdk10",161.642437820152,103.629872533695,77.2475129390906,131.941730021285,105.981943762721,105.381376725126
"Spata2l",5.69472003160426,5.75721514076082,8.02023358384,9.5093138754079,2.4646963665749,6.70608760978072
"Vps9d1",21.0266585782311,29.4257662749998,20.2616427381221,32.0939343295016,25.4685291212739,21.0762753450251
"Zfp276",22.3408247393706,16.6319548510868,13.929879382459,22.5846204540938,18.0744400215492,18.2022377979762
"Fanca",9.6372185150226,24.3082417054346,20.6837602951663,27.3392773917977,17.2528745660243,19.1602503136592
"Tcf25",775.796090459319,636.492118339669,523.003653177777,706.660887366249,652.322971686822,761.619949967953
"Tubb3",11.827495450255,12.7938114239129,9.70870381201685,20.2072919852418,24.646963665749,23.950312892074
"Def8",57.3852557030891,60.7706042635865,40.1011679192,49.9238978458915,50.9370582425478,54.6067133939287
"Afg3l1",144.996333112385,118.342755671195,105.951506818097,107.574113215552,114.19759831797,114.961501881955
"Gas8",65.2702526699258,67.8072005467386,44.3223434896421,49.3295657286785,55.8664509756976,51.7326758468798
"Rhou",28.0355447709748,26.2273134190215,21.950112966299,32.0939343295016,30.3979218544237,34.4884505645866
"Rab4a",10.5133292891156,12.1541208527173,10.5529389261053,13.0753065786859,11.5019163773495,6.70608760978072
"Ccsap",7.00888619274371,14.7128831374999,13.929879382459,11.8866423442599,9.85878546629958,2.87403754704888
"Gm4342",69.6508065403906,61.4102948347821,52.3425770734821,64.1878686590033,79.6918491859216,74.7249762232709
"Nup133",16.6461047077663,10.2350491391304,17.3068198388126,16.6412992819638,18.8960054770742,17.2442252822933
"Abcb10",28.4736001580213,24.9479322766302,26.1712885367411,27.3392773917977,30.3979218544237,19.1602503136592
"Taf5l",53.4427572196708,47.3371022684779,41.7896381473769,37.4429233844186,35.3273145875735,39.2785131430013
"Urb2",14.8938831595804,15.9922642798912,9.70870381201685,10.6979781098339,13.1450472883994,7.66410012546368
"Galnt2",200.629367267289,234.766439628803,218.656894548901,196.129598680288,180.744400215492,199.266603262056
"Cog2",60.013588025368,82.5200836842385,52.3425770734821,67.7538613622813,54.2233200646477,49.8166508155139
"Agt",16.6461047077663,17.2716454222825,13.929879382459,33.2825985639276,31.2194873099487,43.1105632057332
"2310022B05Rik",226.474635103031,221.97262820489,196.706781582602,184.837288453241,207.034494792291,205.014678356153
"Ttc13",69.2127511533441,63.3293665483691,80.6244533954443,68.3481934794943,69.833063719622,56.5227384252946
"Arv1",21.0266585782311,26.2273134190215,24.4828183085642,23.7732846885197,21.3607018436491,26.8243504391229
"2810004N23Rik",43.8055387046482,35.1829814157606,34.1915221205811,38.6315876188446,31.2194873099487,51.7326758468798
"Gnpat",71.841083475623,65.8881288331517,55.2973999727916,74.2915146516242,67.3683673530471,69.9349136448561
"Exoc8",16.6461047077663,13.4335019951086,20.2616427381221,14.8583029303248,17.2528745660243,16.2862127666103
"Sprtn",14.8938831595804,11.5144302815216,9.28658625497264,11.2923102270469,10.6803509218245,17.2442252822933
"Egln1",109.951902148667,124.099970811956,128.32373734144,73.1028504171982,82.9781110080215,88.1371514428323
"Gm46060",7.44694157979019,7.03659628315212,10.5529389261053,10.6979781098339,13.1450472883994,9.5801251568296
"Tsnax",46.4338710269271,40.3005059853258,43.4781083755537,37.4429233844186,41.0782727762483,48.858638299831
"Sipa1l2",196.68686878387,186.789646789129,177.289373958569,213.959562196678,177.458138393392,190.644490620909
"Ntpcr",25.8452678357424,26.8670039902172,22.7943480803874,31.4996022122887,33.6841836765236,35.4464630802695
"Slc35f3",35.0444309637185,18.5510265646738,16.4625847247242,11.2923102270469,14.7881781994494,16.2862127666103
"Coa6",10.0752739020691,14.7128831374999,16.8847022817684,10.1036459926209,11.5019163773495,20.1182628293422
"Irf2bp2",79.7260804424597,82.5200836842385,89.0668045363285,69.5368577139202,82.9781110080215,80.4730513173686
"Tomm20",154.195496240362,268.670039902172,283.66299833371,221.091547603234,269.473469412189,234.713066342325
"Rbm34",24.0930462875565,24.3082417054346,37.990580133979,26.7449452745847,36.1488800430985,33.5304380489036
"Pard3",42.9294279305552,44.7783399836953,39.6790503621558,37.4429233844186,30.3979218544237,39.2785131430013
"Gm51558",5.25666464455778,8.31597742554341,1.68847022817684,8.32064964098191,9.85878546629958,8.62211264114664
"Nrp1",17.0841600948128,29.4257662749998,21.5279954092547,51.1125620803174,50.1154927870229,45.0265882370991
"Itgb1",712.716114724626,635.212737197278,552.551882170872,534.898905491694,547.984158835152,450.265882370991
"Zfp1006",2.19027693523241,5.75721514076082,8.86446869792843,10.6979781098339,4.10782727762483,6.70608760978072
"Alkbh8",6.13277541865075,7.03659628315212,8.02023358384,8.9149817581949,10.6803509218245,7.66410012546368
"Cwf19l2",8.76110774092964,13.4335019951086,6.33176335566316,14.8583029303248,13.1450472883994,20.1182628293422
"Aasdhppt",1.75222154818593,9.59535856793471,16.4625847247242,6.53765328934293,10.6803509218245,8.62211264114664
"Msantd4",6.13277541865075,3.19845285597824,13.929879382459,16.6412992819638,14.7881781994494,9.5801251568296
"Casp4",33.2922094155326,51.1752456956518,48.5435190600842,74.8858467688372,67.3683673530471,59.3967759723435
"Casp12",1.75222154818593,3.19845285597824,8.86446869792843,7.13198540655592,13.9666127439244,10.5381376725126
"Dync2h1",2.62833232227889,8.31597742554341,10.1308213690611,7.72631752376892,10.6803509218245,6.70608760978072
"Dcun1d5",6.57083080569723,47.3371022684779,73.8705724827369,51.7068941975304,64.0821055309473,52.6906883625628
"Mmp13",30.2258217062072,44.1386494124997,115.660210630114,38.6315876188446,39.4351418651983,28.7403754704888
"Mmp3",829.23884767899,844.391553978254,1117.34517349603,736.377493226899,546.341027924102,525.948871109945
"Tmem123",10.0752739020691,7.67628685434777,20.6837602951663,15.4526350475378,16.4313091104993,9.5801251568296
"Birc2",7.88499696683667,6.39690571195647,9.28658625497264,14.2639708131118,8.21565455524965,1.91602503136592
"Birc3",12.2655508373015,15.3525737086955,9.28658625497264,10.1036459926209,9.85878546629958,8.62211264114664
"Yap1",91.1155205056682,108.107706532064,96.6649205631243,112.328770153256,95.301592840896,99.6333016310278
"Ccdc82",10.0752739020691,18.5510265646738,20.6837602951663,25.5562810401587,20.5391363881241,22.0342878607081
"Maml2",10.5133292891156,8.31597742554341,16.04046716768,18.4242956336028,13.9666127439244,15.3282002509274
"Phxr4",4.38055387046482,15.3525737086955,27.8597587649179,19.6129598680288,27.9332254878488,26.8243504391229
"Mtmr2",54.7569233808102,48.6164834108692,42.2117557044211,42.1975803221225,41.0782727762483,49.8166508155139
"Cep57",13.1416616113945,29.4257662749998,30.3924641071832,37.4429233844186,28.7547909433738,26.8243504391229
"Fam76b",17.5222154818593,15.9922642798912,25.3270534226526,35.0655949155666,29.5763563988987,38.3205006273184
"Sesn3",10.5133292891156,10.2350491391304,3.37694045635369,8.9149817581949,9.85878546629958,6.70608760978072
"Cwc15",88.9252435704358,122.820589669564,112.705387730804,96.2818029885049,127.34264560637,98.6752891153449
"Amotl1",138.863557693735,106.188634818477,133.389148025971,147.988697186035,158.562132916318,158.072065087688
"Mre11a",10.0752739020691,19.8304077070651,24.06070075152,11.8866423442599,18.0744400215492,22.992300376391
"Panx1",9.6372185150226,12.1541208527173,7.17599846975158,5.34898905491694,9.03722001077462,2.87403754704888
"Med17",13.1416616113945,16.6319548510868,18.9952900669895,10.6979781098339,16.4313091104993,21.0762753450251
"4931406C07Rik",9.19916312797612,9.59535856793471,14.7741144965474,10.6979781098339,11.5019163773495,7.66410012546368
"Taf1d",42.0533171564623,44.7783399836953,49.3877541741727,40.4145839704836,69.0114982640971,61.3128010037094
"Cep295",9.19916312797612,8.95566799673906,13.5077618254147,5.34898905491694,17.2528745660243,11.4961501881955
"Smco4",12.2655508373015,17.9113359934781,15.6183496106358,9.5093138754079,13.1450472883994,14.3701877352444
"Gm48856",11.3894400632085,10.2350491391304,9.28658625497264,9.5093138754079,12.3234818328745,18.2022377979762
"Naalad2",11.3894400632085,6.39690571195647,3.7990580133979,5.94332117212994,4.92939273314979,6.70608760978072
"Zfp266",5.25666464455778,10.2350491391304,14.7741144965474,9.5093138754079,14.7881781994494,12.4541627038785
"Gm46142",23.2169355134635,16.6319548510868,55.2973999727916,83.8008285270321,167.599352927093,126.457652070151
"Fbxl12",14.8938831595804,14.7128831374999,16.04046716768,15.4526350475378,18.0744400215492,11.4961501881955
"Ubl5",180.478819463151,145.209759661412,135.077618254147,147.988697186035,138.844561983719,141.785852321078
"Pin1",208.514364234125,180.392741077173,184.887489985364,165.224328585212,192.246316592842,207.888715903202
"Col5a3",53.8808126067173,60.7706042635865,53.1868121875706,32.0939343295016,27.1116600323239,30.6564005018547
"Shfl",39.4249848341834,35.8226719869562,46.8550488319074,45.7635730254005,58.3311473422725,65.1448510664413
"Ppan",201.943533428428,143.290687947825,106.373624375141,134.91339060735,116.662294684545,145.61790238381
