name,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Gm53348,0,0,0,0,0,0,0
EU599041,0,0,0,0,0,0,0
Gm35588,0,0,0,0,0,0,0
Zfp715,3,3,8,5,2,10,8
Siglecf,0,0,0,0,0,0,0
Siglecg,3,5,6,7,7,9,6
Gm38999,0,0,0,0,0,4,0
Lim2,0,0,0,0,0,0,0
Nkg7,2,0,1,0,0,0,1
Cldnd2,0,0,0,0,0,1,0
Etfb,739,465,829,571,411,920,707
Mir7051,3,0,2,0,0,0,3
Gm39000,5,2,2,0,1,9,4
Vsig10l,21,8,15,15,8,21,10
Iglon5,164,103,147,79,92,241,114
4931406B18Rik,0,0,1,0,1,0,0
Gm9278,0,0,0,0,0,0,0
Siglecl1,0,0,0,0,0,0,0
Cd33,0,0,0,1,0,0,0
Zfp658,5,3,3,4,4,3,1
Zfp719,16,17,35,14,14,33,17
Zfp819,3,2,8,2,1,1,0
Ceacam18,0,0,0,0,0,0,0
Siglece,0,0,0,0,0,0,0
LOC118567526,0,0,0,0,0,0,0
Ctu1,21,17,22,18,9,18,23
Klk14,0,0,0,0,0,2,0
Klk13,0,0,0,0,0,0,0
2310002F09Rik,0,0,0,0,0,0,0
Klk12,0,0,0,0,0,0,0
Klk11,0,0,0,0,0,0,0
Klk10,0,0,0,0,0,2,3
Klk9,0,0,0,0,0,0,0
Klk8,1,0,2,1,0,2,0
Klk7,0,0,0,0,0,0,0
Klk6,0,0,0,0,0,0,0
Klk5,0,0,0,0,0,0,0
Gm45173,0,0,0,0,0,0,0
Klk4,0,0,0,0,0,0,0
Klk15,0,0,0,0,0,0,0
Klk1b7-ps,0,0,0,0,0,0,0
Klk1b8,0,0,0,0,0,0,0
Klk1b1,0,0,0,0,0,0,0
Klk1b9,0,0,0,0,0,0,0
Klk1b11,0,0,0,0,0,0,0
Klk1b21,0,0,0,0,0,0,0
Klk1b26,0,0,0,0,0,0,0
Klk1b27,0,0,0,0,0,0,0
Klk1b22,0,0,0,0,0,0,0
Klk1b16,0,0,0,0,0,0,0
Klk1b24,0,0,0,0,0,0,0
Klk1b3,0,0,0,0,0,0,0
