"","control_1","control_2","control_3","knockdown_1","knockdown_2","knockdown_3"
"Gm37233",2.06675183851924,1.86778119808812,1.41219362814258,2.15840608504692,2.06104310823683,1.40881848446701
"Ccdc115",5.29802900623089,5.42748411247539,5.6701030622241,5.58854371628071,5.24996341573791,5.33755626897831
"Imp4",6.41809680704272,6.15901166910694,6.30501528607851,5.84317021135756,6.10361806787674,6.023002549485
"Fam168b",7.19612936924427,7.0912329502323,6.84202171512127,6.81004046103751,6.90044470747395,6.67881347350584
"Plekhb2",6.55722109044187,6.51018234817616,6.13382231717789,6.46039950031675,5.79710174551054,6.52538744144856
"Hs6st1",5.67660831240697,5.80199315253587,5.25993714326321,5.61612624201582,5.54931621264803,5.62486554379175
"Uggt1",6.05232329202166,6.20787476293859,5.88822753043469,6.18454484853954,5.88897748931601,5.78264075129683
"Neurl3",6.30776266847034,6.22091876513118,6.29026504432891,5.96078924917306,6.11887837904203,5.9500210908594
"Arid5a",4.29773567686957,4.53102242779767,4.98255326153693,4.25499542773589,3.92043413975345,3.61806500577262
"Kansl3",5.52046332689368,5.43496664614021,5.88822753043469,5.41096208374951,5.55680609029572,5.52789519341912
"Lman2l",3.19752931216874,3.97583639963691,3.71336617944407,2.90360065398042,3.58168526945502,3.29036331135562
"Cnnm4",5.03493593929583,5.16491294158538,5.15529302547519,5.17170675393641,4.74638355724653,4.01784498138544
"Cnnm3",4.09119453221418,3.70584472554122,3.4906161732574,2.90360065398042,4.03211947651929,3.57556678110855
"Ankrd23",2.92596702447778,2.76186763734438,2.48811059456933,2.66035293953188,2.55559668513252,2.7933195022932
"Ankrd39",2.06675183851924,1.95363631554836,2.00067616662666,2.49191803128121,2.06104310823683,2.71716870995527
"Sema4c",3.46077334248254,3.52133734976069,2.68138247525735,3.11169170889603,3.25327912308857,3.39182608652142
"Cox5b",9.17145924445504,9.14701042965359,9.06074922510297,8.68239083681795,9.08506531557147,9.10265573770185
"Actr1b",6.62397544838928,6.67406984358514,6.75159055610509,6.36201148047359,6.38181180180388,6.25614314109332
"Tmem131",6.06933175496598,6.13624202025678,6.36724570366083,6.48304675353698,6.30828160647367,6.28280497543468
"Inpp4a",2.7115992619406,2.3830055180795,1.90063815606268,2.71239433567871,2.55559668513252,2.02887820960346
"Coa5",5.63912767001691,6.00666153343559,5.88168252505562,5.96078924917306,5.64377679001614,5.9332891194322
"Unc50",5.69133210851241,6.01167422426994,5.84177641695674,6.04944595527738,6.08301659853417,6.12230117332439
"Mgat4a",2.97492723588929,2.55767628963025,2.26488201239723,3.03201972591611,2.72472568010465,2.5516320406801
"Cracdl",3.95140091689552,4.18554265395136,4.18671845829105,4.5549118241729,4.5945547560192,4.45298068544762
"Lipt1",1.76655579207879,1.67903314936563,1.55065801426382,2.23156192092153,1.56274104832423,1.75190720512167
"Mitd1",4.96395167125623,4.87702290749974,4.65427179979694,5.27913631922439,5.05218675054176,5.17626798128339
"Mrpl30",7.74187502203455,7.8699166756995,8.04467333635923,7.76111531361121,7.74991951698711,7.95552328991561
"Txndc9",6.39579603807935,6.06086589029594,6.20894409891532,6.42184567258021,6.47568012263664,6.24939997631143
"Eif5b",8.73481241743083,8.51995491887247,8.83544800735521,8.5474312828344,8.6709167118031,8.4723011488892
"Pdcl3",6.47025287981844,6.47068436549733,6.3904834549758,6.99998665973559,6.67122661007202,6.68382371244359
"Rpl31",10.1955528612397,10.1108807033056,10.6611154416687,10.094150080364,10.4257315121403,10.3600556978708
"Cnot11",5.20874294676488,5.35833537406184,5.2997581339186,5.61612624201582,5.16430128543725,5.3875465298852
"Rnf149",6.12462065063074,6.1769721321989,6.41335283715635,6.61877024649999,6.51466163751019,6.65349791130864
"Gm5100",3.27776765050793,3.17322583629271,4.22858278173996,3.5438247928744,2.06104310823683,2.5516320406801
"Map4k4",6.53290334715671,6.30906665760216,6.11162035825673,5.74039010646008,6.26321058463019,5.96656123225193
"Il1r1",4.19815809425519,4.07494959637726,3.82673868595746,4.18304814308887,4.13577654573009,4.35587397677591
"Il18rap",3.85006333198777,3.54918474372828,3.65315389717225,3.42409263347983,3.13816984764143,3.61806500577262
"Mrps9",5.93350093670111,6.07530216220048,5.97687022070467,5.85479436222902,5.74559898159049,5.71572654242011
"Tgfbrap1",4.23881754101027,4.54492015431582,4.32821851853264,4.70374017628501,4.50446938246622,4.80534296125946
"AI597479",3.82357630223872,3.99621125683959,3.82673868595746,3.65437712842519,3.84902227249046,4.16842009359679
"Fhl2",7.14356343925402,6.79529740414023,7.23246983768022,7.16314181645815,7.04058972997664,6.9481499079838
"Nck2",5.14599332357961,5.09105861396441,4.5590383736341,5.19017644927003,5.00915648526689,5.44769277176126
"Uxs1",4.372727441504,4.13130558597591,4.42141547256786,4.63798743939966,4.5945547560192,4.38077026398047
"Gm19587",8.19745859760817,7.95043696169504,8.49089072701039,8.74307004489699,8.08773036074819,8.12534479588125
"Tpp2",6.38677830553031,6.23384588708179,6.04288775731749,6.45659015157208,6.41515885737772,6.7036924628538
"Tex30",3.76909717112508,4.75080146621246,4.97026732449531,5.16238247287077,4.90737253935989,4.9946518138997
"Poglut2",4.81055942928018,4.84367942034536,4.26926646009814,4.82688540923949,5.2030025750343,4.72984100568217
"Bivm",1.52493092590977,1.86778119808812,3.34596272362303,3.32728543452318,1.97421078844853,2.93452949507855
"Ercc5",3.65354942025939,3.09980682119028,3.4906161732574,3.39253986665381,3.13816984764143,3.53177856796953
"Wdr75",6.37770385187119,6.11776396518617,6.01325373348552,6.21191911675765,6.11887837904203,6.21520312726253
"Slc40a1",2.38923070284366,4.05566420904507,3.79921981219419,4.74179982347705,4.2324825384064,4.9946518138997
"Slc39a10",3.31627310827046,3.34192231615362,3.05160648256656,3.75705758265082,3.66721223307877,3.39182608652142
"Cavin2",6.43131365699287,6.388288327552,6.76231889709604,6.64243675313058,6.57122745372522,6.55849726032932
"Nabp1",3.31627310827046,3.54918474372828,4.36622275364437,4.10732364978212,3.45914109814435,4.1967371023182
"Myo1b",3.74106619916083,2.50176993069097,3.22708099968714,2.55027546406708,2.4307167545531,2.26114355753582
