"","control_1.bam","control_2.bam","control_3.bam","knockdown_1.bam","knockdown_2.bam","knockdown_3.bam"
"Gm28175",0,0,0,1,0,1
"Gm46088",0,0,0,0,0,0
"Gm36678",0,0,0,0,0,0
"Gm37047",0,0,0,0,0,0
"Gm46089",0,0,0,0,0,0
"Gm36822",0,0,0,0,0,0
"Pantr1",0,0,0,0,0,0
"Gm20646",0,0,0,0,0,0
"Pou3f3",0,0,0,0,0,0
"2900092D14Rik",0,0,0,0,0,0
"Pantr2",0,0,0,0,0,0
"Dalir",0,0,0,0,0,0
"Gm53552",0,0,0,0,0,0
"Mrps9",231,299,233,247,218,146
"Gm23126",0,0,0,0,0,0
"Gm39633",0,0,0,0,0,0
"Gpr45",0,0,0,0,0,0
"Tgfbrap1",70,102,73,110,91,77
"Gm28782",0,0,0,0,0,0
"8430432A02Rik",0,1,0,2,1,0
"AI597479",52,69,51,52,57,49
"Fhl2",537,494,559,615,538,345
"Gm29040",0,0,0,0,0,0
"Gm29610",0,0,0,0,0,0
"Gm57530",0,0,0,0,0,0
"Nck2",133,150,86,155,130,121
"Gm38628",0,1,0,0,0,0
"Gm30634",0,0,0,0,0,0
"Ecrg4",0,0,0,1,0,0
"Uxs1",77,76,78,105,97,57
"Gm19587",1117,1103,1340,1843,1114,782
"Gm26352",0,0,0,0,0,0
"Tpp2",317,334,244,376,348,291
"Mettl21c",0,0,0,0,0,0
"Ccdc168",1,3,2,4,0,2
"Tex30",50,118,115,152,121,88
"Poglut2",105,126,70,120,149,73
"Bivm",9,14,36,41,14,20
"Ercc5",46,36,40,43,34,31
"Mettl21e",0,0,0,0,0,0
"Gm28893",0,0,0,2,0,3
"Gm39635",0,0,0,0,0,0
"Gulp1",1,1,1,1,3,1
"4930521E06Rik",0,0,0,0,0,0
"Gm3489",0,0,0,0,0,0
"Gm19480",0,0,0,0,0,0
"Gm3496",0,0,0,0,0,0
"Col3a1",4,7,10,4,4,3
"Col5a2",2,7,11,7,7,4
"Gm39637",0,0,0,0,1,0
"Gm23216",0,0,0,0,0,0
"Gm51621",0,0,0,0,0,0
"Gm23974",0,0,0,0,0,0
"Wdr75",315,308,239,317,283,207
"Gm30900",0,0,0,0,0,0
"Slc40a1",18,72,50,113,75,88
"Stk-ps2",0,0,0,0,0,0
"Dnah7b",2,0,3,2,1,1
"Gm31046",0,0,0,0,0,0
"n-R5s211",0,0,0,0,0,0
"Dnah7c",0,0,0,0,0,1
"Slc39a10",36,43,29,56,50,28
"Gm39638",0,0,0,0,0,0
"Gm39639",0,0,0,0,0,0
"Mir6350",0,0,0,0,0,0
"Gm23240",0,0,0,0,0,0
"C230029F24Rik",0,0,0,0,0,0
"Gm3605",0,0,0,0,0,0
"Gm39640",0,0,0,0,0,0
"Gm20118",0,0,0,0,0,0
"Gm28321",0,0,0,0,0,0
"Tmeff2",5,14,10,6,6,7
"9330175M20Rik",0,0,0,0,0,0
"Cavin2",327,372,403,428,388,263
"Nabp1",36,50,75,72,43,50
"Gm17767",0,0,0,0,0,0
"Gm31636",0,0,0,0,0,0
"Myo1b",49,23,33,23,20,12
"Gm33795",0,0,0,0,0,0
"Gm8419",0,0,0,0,0,0
"Stat4",0,0,0,0,0,0
"Gm31812",2,1,0,0,0,1
"Stat1",52,42,28,47,41,13
"Gls",225,232,232,211,236,137
"Gm31867",0,0,0,0,0,0
"Gm31955",0,0,0,0,0,0
"Gm23460",0,0,0,0,0,0
"Nab1",83,110,186,129,99,129
"Gm53065",0,0,0,0,0,0
"Gm28178",0,0,0,0,0,0
"Gm5527",80,56,57,83,115,51
"Nemp2",21,10,7,21,17,11
"Mfsd6",78,113,124,101,121,77
"Inpp1",21,34,17,41,30,17
"Hibch",29,19,61,34,22,30
"1700019D03Rik",0,0,0,0,0,0
"Mstn",0,0,0,0,0,0
"Gm24349",0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,2,0
"Pms1",3,13,8,9,12,13
"Gm28777",0,0,0,0,0,0
"Ormdl1",54,43,83,54,34,75
"Osgepl1",46,64,36,45,39,33
