ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001011757.1,0,0,0,0,0,0
NM_001011758.2,0,0,0,0,0,0
NM_001011759.2,0,0,0,0,0,0
NM_001011760.2,0,0,0,0,0,0
NM_001011761.1,0,0,0,0,0,0
NM_001011767.1,0,0,0,0,0,0
NM_001011769.2,0,0,0,0,0,0
NM_001011770.2,0,0,0,0,0,0
NM_001011771.2,0,0,0,0,0,0
NM_001011773.1,0,0,0,0,0,0
NM_001011774.2,0,0,0,0,0,0
NM_001011775.2,0,0,0,0,0,0
NM_001011776.1,0,0,0,0,0,0
NM_001011777.2,0,0,0,0,0,0
NM_001011778.1,0,0,0,0,0,0
NM_001011779.1,0,0,0,0,0,0
NM_001011780.1,0,0,0,0,0,0
NM_001011782.2,0,0,0,0,0,0
NM_001011784.2,0,0,0,0,0,0
NM_001011785.1,0,0,0,0,0,0
NM_001011787.2,0,0,0,0,0,0
NM_001011788.1,0,0,0,0,0,0
NM_001011789.1,0,0,0,0,0,0
NM_001011790.1,0,0,0,0,0,0
NM_001011791.2,0,0,0,0,0,0
NM_001011793.1,0,0,0,0,0,0
NM_001011794.1,0,0,0,0,0,0
NM_001011795.1,0,0,0,0,0,0
NM_001011796.2,0,0,0,0,0,0
NM_001011797.1,0,0,0,0,0,0
NM_001011798.1,0,0,0,0,0,0
NM_001011799.1,0,0,0,0,0,0
NM_001011800.2,0,2,0,0,1,0
NM_001011801.1,0,0,0,0,0,0
NM_001011802.2,0,0,0,0,0,0
NM_001011803.2,0,0,0,0,0,0
NM_001011804.1,0,0,0,0,0,0
NM_001011805.1,0,0,0,0,0,0
NM_001011806.1,0,0,0,0,0,0
NM_001011807.2,0,0,0,0,0,0
NM_001011808.1,0,0,0,0,0,0
NM_001011809.2,0,0,0,0,0,0
NM_001011810.2,0,0,0,0,0,0
NM_001011811.1,0,0,0,0,0,0
NM_001011812.1,0,0,0,0,0,0
NM_001011813.1,0,0,0,0,0,0
NM_001011814.1,0,0,0,0,0,0
NM_001011815.1,0,0,0,0,0,0
NM_001011816.1,0,0,0,0,0,0
NM_001011818.2,0,0,0,0,0,0
NM_001011819.2,0,0,0,0,0,0
NM_001011820.2,0,0,0,0,0,0
NM_001011821.1,0,0,0,0,0,0
NM_001011822.1,0,0,0,0,0,0
NM_001011823.1,0,0,0,0,0,0
NM_001011824.1,0,0,0,0,0,0
NM_001011825.1,0,0,0,0,0,0
NM_001011826.1,0,0,0,0,0,0
NM_001011827.1,0,0,0,0,0,0
NM_001011828.1,0,0,0,0,0,0
NM_001011829.1,0,0,0,0,0,0
NM_001011830.3,0,0,0,0,0,0
NM_001011831.1,0,0,0,0,0,0
NM_001011832.1,0,0,0,0,0,0
NM_001011833.1,0,0,0,0,0,0
NM_001011834.1,0,0,0,0,0,0
NM_001011835.1,0,0,0,0,0,0
NM_001011836.2,0,0,0,0,0,0
NM_001011837.2,0,0,0,0,0,0
NM_001011839.2,0,0,0,0,0,0
NM_001011840.1,0,0,0,0,0,0
NM_001011841.1,0,0,0,0,0,0
NM_001011842.1,0,0,0,0,0,0
NM_001011845.2,0,0,0,0,0,0
NM_001011846.1,0,0,0,0,0,0
NM_001011847.1,0,0,0,0,0,0
NM_001011848.1,0,0,0,0,0,0
NM_001011849.1,0,0,0,0,0,0
NM_001011850.1,0,0,0,0,0,0
NM_001011851.1,0,0,0,0,0,0
NM_001011852.2,0,0,0,0,0,0
NM_001011853.1,0,0,0,0,0,0
NM_001011854.2,0,0,0,0,0,0
NM_001011855.1,0,0,0,0,0,0
NM_001011856.2,0,0,0,0,0,0
NM_001011857.1,0,0,0,0,0,0
NM_001011858.1,0,0,0,0,0,0
NM_001011859.1,0,0,0,0,0,0
NM_001011860.1,0,0,0,0,0,0
NM_001011861.3,0,0,0,0,0,0
NM_001011862.1,0,0,0,0,0,0
NM_001011863.1,0,0,0,0,0,0
NM_001011864.1,0,0,0,0,0,0
NM_001011865.2,0,0,0,0,0,0
NM_001011866.1,0,0,0,0,0,0
NM_001011867.1,0,0,0,0,0,0
NM_001011868.1,0,0,0,0,0,0
NM_001011869.1,0,0,0,0,0,0
